"variable" "sex" "age_adult" "ht.code" "count_n_" "n_denom" "rate_strat" "year" "aggr_level"
"prevalence" "f" "18+" 1 1996 2141318 93.2136189020033 2004 "age_sex"
"prevalence" "f" "18+" 2 1349 2141318 62.9985831156325 2004 "age_sex"
"prevalence" "f" "18+" 3 803 2141318 37.5002685262068 2004 "age_sex"
"prevalence" "f" "18+" 4 4148 2141318 193.712470543843 2004 "age_sex"
"prevalence" "f" "<18" 1 2474 551890 448.277736505463 2004 "age_sex"
"prevalence" "f" "<18" 2 791 551890 143.325662722644 2004 "age_sex"
"prevalence" "f" "<18" 3 709 551890 128.467629418906 2004 "age_sex"
"prevalence" "f" "<18" 4 3974 551890 720.071028647013 2004 "age_sex"
"prevalence" "m" "18+" 1 1599 2052605 77.9010087181898 2004 "age_sex"
"prevalence" "m" "18+" 2 1365 2052605 66.5008611008937 2004 "age_sex"
"prevalence" "m" "18+" 3 883 2052605 43.0185057524463 2004 "age_sex"
"prevalence" "m" "18+" 4 3847 2052605 187.42037557153 2004 "age_sex"
"prevalence" "m" "<18" 1 2265 581283 389.65529698959 2004 "age_sex"
"prevalence" "m" "<18" 2 977 581283 168.076479098821 2004 "age_sex"
"prevalence" "m" "<18" 3 879 581283 151.217221215828 2004 "age_sex"
"prevalence" "m" "<18" 4 4121 581283 708.948997304239 2004 "age_sex"
"incidence" "f" "18+" 1 NA 2141318 NA 2004 "age_sex"
"incidence" "f" "18+" 2 NA 2141318 NA 2004 "age_sex"
"incidence" "f" "18+" 3 NA 2141318 NA 2004 "age_sex"
"incidence" "f" "18+" 4 NA 2141318 NA 2004 "age_sex"
"incidence" "f" "<18" 1 218 551890 39.5006251245719 2004 "age_sex"
"incidence" "f" "<18" 2 42 551890 7.6102121799634 2004 "age_sex"
"incidence" "f" "<18" 3 55 551890 9.96575404519016 2004 "age_sex"
"incidence" "f" "<18" 4 315 551890 57.0765913497255 2004 "age_sex"
"incidence" "m" "18+" 1 NA 2052605 NA 2004 "age_sex"
"incidence" "m" "18+" 2 NA 2052605 NA 2004 "age_sex"
"incidence" "m" "18+" 3 NA 2052605 NA 2004 "age_sex"
"incidence" "m" "18+" 4 NA 2052605 NA 2004 "age_sex"
"incidence" "m" "<18" 1 167 581283 28.7295516985702 2004 "age_sex"
"incidence" "m" "<18" 2 69 581283 11.8702938155769 2004 "age_sex"
"incidence" "m" "<18" 3 64 581283 11.0101275970569 2004 "age_sex"
"incidence" "m" "<18" 4 300 581283 51.609973111204 2004 "age_sex"
"opr" "f" "18+" 1 34 2141318 1.58780713560527 2004 "age_sex"
"opr" "f" "18+" 2 33 2141318 1.54110692573452 2004 "age_sex"
"opr" "f" "18+" 3 43 2141318 2.00810902444196 2004 "age_sex"
"opr" "f" "18+" 4 110 2141318 5.13702308578175 2004 "age_sex"
"opr" "f" "<18" 1 69 551890 12.5024914385113 2004 "age_sex"
"opr" "f" "<18" 2 20 551890 3.62391056188733 2004 "age_sex"
"opr" "f" "<18" 3 91 551890 16.4887930565874 2004 "age_sex"
"opr" "f" "<18" 4 180 551890 32.615195056986 2004 "age_sex"
"opr" "m" "18+" 1 26 2052605 1.26668306858845 2004 "age_sex"
"opr" "m" "18+" 2 43 2052605 2.09489892112706 2004 "age_sex"
"opr" "m" "18+" 3 49 2052605 2.38721039849362 2004 "age_sex"
"opr" "m" "18+" 4 118 2052605 5.74879238820913 2004 "age_sex"
"opr" "m" "<18" 1 35 581283 6.02116352964047 2004 "age_sex"
"opr" "m" "<18" 2 45 581283 7.7414959666806 2004 "age_sex"
